index,order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,payment_method,cust_id,final_status
152,100543324,23/07/21,873405,2,62.5,62.5,0.0,62.5,Health & Sports,Easypay_MA,31655,received
153,100543324,23/07/21,873406,2,24.9,24.9,0.0,24.9,Men's Fashion,Easypay_MA,31655,received
154,100543324,23/07/21,873408,2,24.9,24.9,0.0,24.9,Men's Fashion,Easypay_MA,31655,received
155,100545337,28/07/21,876601,2,112.0,112.0,0.0,112.0,Appliances,Easypay_MA,31655,received
156,100545337,28/07/21,876602,2,16.8,16.8,0.0,16.8,Home & Living,Easypay_MA,31655,received
332,100539049,08/07/21,866260,1,2939.9,0.0,0.0,0.0,Mobiles & Tablets,jazzvoucher,6702,cancelled
333,100539049,08/07/21,866261,2,79.9,79.9,11.985,67.915,Men's Fashion,jazzvoucher,6702,cancelled
334,100540135,11/07/21,868152,2,2929.9,2929.9,0.0,2929.9,Mobiles & Tablets,cod,6702,received
335,100543201,22/07/21,873233,1,1749.9,0.0,0.0,0.0,Mobiles & Tablets,cod,6702,received
849,100542420,18/07/21,872071,6,53.0,265.0,0.0,265.0,Soghaat,cod,2579,received
868,100542577,19/07/21,872300,2,99.9,99.9,0.0,99.9,Women's Fashion,cod,52373,received
869,100542577,19/07/21,872302,2,24.9,24.9,0.0,24.9,Women's Fashion,cod,52373,received
870,100542577,19/07/21,872303,3,11.9,23.8,0.0,23.8,Women's Fashion,cod,52373,received
871,100542577,19/07/21,872304,2,19.9,19.9,0.0,19.9,Women's Fashion,cod,52373,received
872,100542577,19/07/21,872305,3,16.0,32.0,0.0,32.0,Soghaat,cod,52373,received
1060,100541426,14/07/21,870442,3,0.2,0.4,0.0,0.4,Others,bankalfalah,59587,cancelled
1061,100541427,14/07/21,870443,3,0.2,0.4,0.0,0.4,Others,Easypay,59587,cancelled
1062,100541428,14/07/21,870444,3,0.2,0.4,0.0,0.4,Others,Easypay,59587,cancelled
1063,100541430,14/07/21,870447,3,0.2,0.4,0.0,0.4,Others,bankalfalah,59587,cancelled
1064,100541433,14/07/21,870451,3,0.2,0.4,0.0,0.4,Others,bankalfalah,59587,cancelled
1065,100545388,28/07/21,876702,2,10.2,10.2,0.0,10.2,Others,cod,59587,received
1719,100539197,08/07/21,866547,2,119.9,119.9,0.0,119.9,Home & Living,cod,800,received
